ID_male_focals;Body_mass_mg_focal;Mass_reproducibility_mg_focal
2;2.09;
5;1.74;1.71
6;2.12;
8;1.89;
10;1.72;
12;1.94;
16;2.19;
17;1.89;
18;1.67;
21;2.06;
22;1.54;
24;2.22;
27;1.75;
28;1.94;1.94
30;2.02;2
32;1.79;
33;1.78;1.8
36;1.78;1.74
37;1.43;
41;1.94;
42;2.13;2.12
43;2.01;
45;2.01;
49;2.18;2.16
52;1.96;
54;1.66;
56;2;
58;2.24;
59;1.79;
62;1.64;
64;1.68;
65;2.1;2.03
67;2.24;
69;2.34;
71;2.26;
73;2.25;
74;1.8;
75;1.76;
79;1.81;1.8
80;1.99;
81;1.82;
86;1.9;
87;1.72;
90;1.86;
91;1.8;1.79
92;1.64;
96;2.13;
99;2.04;
100;1.83;
101;2.2;2.23
104;1.73;1.77
105;2.19;
106;1.96;
109;1.89;
111;1.81;
112;1.72;1.69
116;1.72;1.6
119;2.09;
120;2.01;
125;1.85;1.85
126;1.88;
129;2.35;
130;1.7;
132;1.9;
135;1.99;1.99
136;2.37;
138;1.56;
142;2.11;2.08
143;2.14;
144;1.74;
147;1.88;
148;2.13;
149;2.09;
153;2;
155;2.21;
156;1.56;
157;2.05;
165;2.03;2.04
166;2.34;2.32
167;1.92;
169;1.8;
170;2.25;
172;1.89;1.87
173;1.83;
176;1.82;
181;2.09;
182;2.07;2.08
185;2.04;2.06
189;1.75;
191;2.13;
192;2.08;
193;1.78;1.79
194;2.09;2.08
197;1.79;1.79
199;1.68;1.69
201;2.06;2.03
202;1.78;
205;1.98;
206;1.83;1.85
208;1.85;
211;2.08;2.07
214;1.79;1.79
216;1.68;
217;2.09;2.1
218;2.08;
219;2.14;2.17
223;2.22;
224;2.36;2.33
227;2.28;2.3
229;2.14;
234;2.13;
236;1.54;
237;1.7;
244;2.08;
245;2.06;2.08
246;2.16;2.12
248;1.52;
250;2.28;2.27
252;2.09;2.06
253;2.27;2.22
254;2.08;
256;2.24;2.2
260;2.03;
262;1.75;1.78
267;1.76;
268;2.02;
270;1.87;1.89
274;2.21;
275;1.93;
279;2.1;
280;2.05;
281;2.13;
286;1.82;
288;2.24;
291;1.81;1.81
293;1.76;
294;2.08;
295;1.96;1.92
297;2.23;
298;2.03;
301;1.6;
306;1.93;
307;1.96;1.93
309;2.31;
311;2.12;
313;1.41;
317;2.01;
318;2.14;
322;2.08;2.03
323;2.18;
324;2.13;
325;2.27;
326;2.13;
329;1.68;
332;1.88;
333;2.27;2.29
336;1.89;
337;1.64;
338;2.04;
342;1.98;1.99
343;1.85;1.83
347;1.88;1.76
348;2.34;
349;2.04;
350;2.29;
355;1.81;
360;1.86;
276;1.74;
