Well_ID;Rec_ID;Week;Sex;Gr_size;Arena;N_comp;N_females;F1_ID;N_MTP1_1;N_RD_1;F2_ID;N_MTP1_2;N_RD_2;F3_ID;N_MTP1_3;N_RD_3;F4_ID;N_MTP1_4;N_RD_4;F5_ID;N_MTP1_5;N_RD_5;F6_ID;N_MTP1_6;N_RD_6;MatingDuration_av;Matings_number;MatingPartners_number;AttemptDuration_av;Attempts_number;AttemptPartners_number;Cop_Fe_1;Cop_Fe_2;Cop_Fe_3;Cop_Fe_4;Cop_Fe_5;Cop_Fe_6;Body_mass_mg_focal;Mass_reproducibility_mg_focal;N_contact_WT;N_contact_RD;contacts_wt_ind;contacts_rd_ind;Total_N_MTP1;Total_N_Rd;m_prop_RS;f_prop_RS;Prop_MS;Total_Encounters;Treatment;gMS;m_RS_Rd_comp;m_RS_Rd_comp_full;m_TotMatings;m_MatingDuration_av;m_Attempts_number;m_Prop_MS;m_Total_Encounters;m_RS;m_cMS;m_meanCop;m_InSuc;m_feSuc;m_PS;m_pFec;m_pFec_compl;f_TotMatings;f_MatingDuration_av;f_Attempts_number;f_Prop_MS;f_Total_Encounters;f_RS;f_cMS;f_meanCop;meanCop;f_fec_pMate
7;V02;1;F;SG;Large;2;3;28;0;0;29;0;101;30;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;1.98;NA;131;61;43.66666667;30.5;0;50.5;NA;0;NA;0;D = 0.26;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0;0;0;NA;NA;NA
8;V02;1;M;LG;Large;5;6;31;0;0;32;53;29;33;0;70;34;0;0;35;0;0;36;0;0;68;2;2;17.25;4;3;1;1;0;0;0;0;1.89;NA;149;159;24.83333333;31.8;53;19.8;72.8021978;NA;0.333333333;6;D = 0.52;1;29;29;2;68;4;0.333333333;6;53;2;1;0.5;0.646341463;0.323170732;82;41;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
9;V02;1;F;LG;Large;5;6;37;71;0;38;0;87;39;0;95;40;0;80;41;0;93;42;0;112;91.3;3;2;8.5;2;2;NA;NA;NA;NA;NA;NA;1.86;NA;163;91;27.16666667;18.2;71;93.4;NA;43.18734793;0.6;5;D = 0.52;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;91.3;2;0.6;5;71;2;1.5;1.5;35.5
10;V02;1;M;LG;Large;5;6;43;0;112;44;45;32;45;11;82;46;0;0;47;0;0;48;0;80;187.5;2;2;10.71;7;4;1;1;1;0;0;0;1.72;NA;167;156;27.83333333;31.2;56;61.2;47.78156997;NA;0.222222222;9;D = 0.52;2;114;226;2;187.5;7;0.222222222;9;56;2;1;1;0.329411765;0.329411765;85;141;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
11;V02;1;F;SG;Large;2;3;49;129;0;50;0;106;51;0;89;NA;NA;NA;NA;NA;NA;NA;NA;NA;58;1;1;18.83;6;2;NA;NA;NA;NA;NA;NA;2.21;NA;133;68;44.33333333;34;129;97.5;NA;56.95364238;0.142857143;7;D = 0.26;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;58;6;0.142857143;7;129;1;1;1;129
12;V02;1;M;SG;Large;2;3;52;0;0;53;2;0;54;0;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;36;1;1;23.5;4;2;1;1;0;0;0;0;1.94;NA;127;121;42.33333333;60.5;2;21;8.695652174;NA;0.2;5;D = 0.26;1;0;0;1;36;4;0.2;5;2;1;1;1;1;1;2;2;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
13;V03;1;F;LG;Small;5;6;55;95;0;56;0;96;57;0;0;58;0;117;59;0;82;60;0;75;76;3;3;14.5;2;1;NA;NA;NA;NA;NA;NA;2.36;NA;160;115;26.66666667;23;95;74;NA;56.21301775;0.6;5;D = 1.33;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;76;2;0.6;5;95;3;1;1;31.66666667
14;V03;1;F;LG;Small;5;6;61;91;0;62;0;95;63;0;54;64;0;76;65;0;48;66;0;67;NA;0;0;15.5;2;2;NA;NA;NA;NA;NA;NA;2.06;NA;195;160;32.5;32;91;68;NA;57.2327044;NA;2;D = 1.33;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;2;NA;2;91;1;0;NA;91
15;V03;1;F;SG;Small;2;3;67;109;0;68;0;85;69;0;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;36;1;1;15.5;2;2;NA;NA;NA;NA;NA;NA;1.87;NA;61;35;20.33333333;17.5;109;57;NA;65.6626506;0.333333333;3;D = 0.67;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;36;2;0.333333333;3;109;1;1;1;109
16;V03;1;M;SG;Small;2;3;70;0;0;71;44;50;72;52;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;79;5;2;20;10;2;0;4;1;0;0;0;2.19;NA;173;118;57.66666667;59;96;33;74.41860465;NA;0.333333333;15;D = 0.67;2;66;66;5;79;10;0.333333333;15;96;2;2.5;1;0.592592593;0.592592593;81;81;NA;NA;NA;NA;NA;NA;NA;NA;2.5;NA
17;V03;1;M;SG;Small;2;3;73;72;63;74;122;9;75;113;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;66;3;3;13.3;9;2;1;1;1;0;0;0;1.89;NA;174;122;58;61;307;36;89.50437318;NA;0.25;12;D = 0.67;3;72;72;3;66;9;0.25;12;307;3;1;1;0.810026385;0.810026385;126.3333333;126.3333333;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
18;V03;1;M;LG;Small;5;6;76;0;0;77;0;0;78;0;70;79;0;0;80;0;40;81;89;0;53.67;3;3;15.5;2;1;0;0;1;0;1;1;1.67;NA;116;132;19.33333333;26.4;89;22;80.18018018;NA;0.6;5;D = 1.33;1;0;110;3;53.67;2;0.6;5;89;3;1;0.333333333;1;0.333333333;89;66.33333333;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
19;V04;1;F;SG;Large;2;3;82;109;0;83;0;87;84;0;75;NA;NA;NA;NA;NA;NA;NA;NA;NA;66.3;6;3;14.75;8;3;NA;NA;NA;NA;NA;NA;2.1;NA;74;39;24.66666667;19.5;109;81;NA;57.36842105;0.428571429;14;D = 0.26;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;66.3;8;0.428571429;14;109;3;2;2;36.33333333
