Well_ID;Rec_ID;Week;Date;St_Time;Sex;Gr_size;Area;N_comp;N_females;F1_ID;N_MTP1_1;N_RD_1;F2_ID;N_MTP1_2;N_RD_2;F3_ID;N_MTP1_3;N_RD_3;F4_ID;N_MTP1_4;N_RD_4;F5_ID;N_MTP1_5;N_RD_5;F6_ID;N_MTP1_6;N_RD_6;MatingDuration_av;Matings_number;MatingPartners_number;AttemptDuration_av;Attempts_number;AttemptPartners_number;excluded;Incu3;Cop_Fe_1;Cop_Fe_2;Cop_Fe_3;Cop_Fe_4;Cop_Fe_5;Cop_Fe_6
1;V01;1;06.09.2021;09:40;F;SG;Small;2;3;1;88;0;2;0;76;3;0;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;NA;NA;NA;NA;NA;NA
2;V01;1;06.09.2021;09:40;M;LG;Small;5;6;4;75;18;5;0;0;6;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;NA;NA;NA;NA;NA;NA
3;V01;1;06.09.2021;09:40;F;SG;Small;2;3;10;0;0;11;0;70;12;0;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;NA;NA;NA;NA;NA;NA
4;V01;1;06.09.2021;09:40;F;LG;Small;5;6;13;83;0;14;0;109;15;0;55;16;0;31;17;0;67;18;0;120;NA;NA;NA;NA;NA;NA;1;0;NA;NA;NA;NA;NA;NA
5;V01;1;06.09.2021;09:40;M;SG;Small;2;3;19;13;27;20;117;0;21;48;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;NA;NA;NA;NA;NA;NA
6;V01;1;06.09.2021;09:40;M;LG;Small;5;6;22;0;79;23;76;34;24;0;0;25;90;25;26;0;36;27;0;0;NA;NA;NA;NA;NA;NA;1;0;NA;NA;NA;NA;NA;NA
7;V02;1;06.09.2021;11:00;F;SG;Large;2;3;28;0;0;29;0;101;30;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA
8;V02;1;06.09.2021;11:00;M;LG;Large;5;6;31;0;0;32;53;29;33;0;70;34;0;0;35;0;0;36;0;0;68;2;2;17.25;4;3;0;0;1;1;0;0;0;0
9;V02;1;06.09.2021;11:00;F;LG;Large;5;6;37;71;0;38;0;87;39;0;95;40;0;80;41;0;93;42;0;112;91.3;3;2;8.5;2;2;0;0;NA;NA;NA;NA;NA;NA
10;V02;1;06.09.2021;11:00;M;LG;Large;5;6;43;0;112;44;45;32;45;11;82;46;0;0;47;0;0;48;0;80;187.5;2;2;10.71;7;4;0;0;1;0;1;0;0;0
11;V02;1;06.09.2021;11:00;F;SG;Large;2;3;49;129;0;50;0;106;51;0;89;NA;NA;NA;NA;NA;NA;NA;NA;NA;58;1;1;18.83;6;2;0;0;NA;NA;NA;NA;NA;NA
12;V02;1;06.09.2021;11:00;M;SG;Large;2;3;52;0;0;53;2;0;54;0;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;36;1;1;23.5;4;2;0;0;1;0;0;0;0;0
13;V03;1;06.09.2021;12:00;F;LG;Small;5;6;55;95;0;56;0;96;57;0;0;58;0;117;59;0;82;60;0;75;76;3;3;14.5;2;1;0;0;NA;NA;NA;NA;NA;NA
14;V03;1;06.09.2021;12:00;F;LG;Small;5;6;61;91;0;62;0;95;63;0;54;64;0;76;65;0;48;66;0;67;0;0;0;15.5;2;2;0;0;NA;NA;NA;NA;NA;NA
15;V03;1;06.09.2021;12:00;F;SG;Small;2;3;67;109;0;68;0;85;69;0;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;36;1;1;15.5;2;2;0;0;NA;NA;NA;NA;NA;NA
